iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
TCD,1,Tibesti,23847190B76461278489523,WP,All_2020_Fixed,2020,0,0,0,65633.546875,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Borkou,23847190B42201300909064,WP,All_2020_Fixed,2020,0,1,0,240793.859375,0,0,113031.5859375,16420.041015625,0,0,0,0,36316.25390625,6333.2412109375,0,0
TCD,1,Ennedi-Ouest,23847190B77249644038093,WP,All_2020_Fixed,2020,0,2,2,114956.5,0,0,3542.870849609375,5471.0654296875,22025.140625,7001.54736328125,0,0,1739.7138671875,2117.80517578125,9340.7197265625,4611.2353515625
TCD,1,Wadi Fira,23847190B87163061266246,WP,All_2020_Fixed,2020,0,1,0,1037416,0,0,53561.8671875,18838.02734375,0,0,0,0,7196.0517578125,1969.561767578125,0,0
TCD,1,Salamat,23847190B13389621272768,WP,All_2020_Fixed,2020,1,1,2,421422.71875,22384.255859375,18505.892578125,75966.7421875,53022.18359375,41456.87109375,12148.484375,1336.71484375,1496.355224609375,6250.14208984375,3330.340576171875,16748.513671875,2393.541259765625
TCD,1,Sila,23847190B78936858597948,WP,All_2020_Fixed,2020,0,0,0,629093.5,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Ouaddaï,23847190B50657270888212,WP,All_2020_Fixed,2020,0,1,0,1178339.5,0,0,0,427.78717041015625,0,0,0,0,0,53.05902099609375,0,0
TCD,1,Guéra,23847190B67442151938208,WP,All_2020_Fixed,2020,1,3,1,793383.1875,9443.57421875,6728.49609375,96198.0234375,87943.390625,32088.9609375,14241.3466796875,1704.537353515625,961.168701171875,10867.7958984375,5218.798828125,6734.6337890625,2156.53173828125
TCD,1,Batha,23847190B10962291388144,WP,All_2020_Fixed,2020,0,1,1,695777,0,0,115334.03125,11358.0478515625,41359.96875,28612.015625,0,0,36320.19921875,2750.39111328125,2026.3536376953125,1985.90771484375
TCD,1,Hadjer-Lamis,23847190B62369995372725,WP,All_2020_Fixed,2020,0,0,1,765701.9375,0,0,0,0,0,6190.30712890625,0,0,0,0,0,216.0198974609375
TCD,1,Bahr el Gazel,23847190B86845512760819,WP,All_2020_Fixed,2020,0,1,0,437817.6875,0,0,9289.4248046875,5152.8037109375,0,0,0,0,3199.88525390625,1832.1048583984375,0,0
TCD,1,Kanem,23847190B36105987279194,WP,All_2020_Fixed,2020,0,0,0,550938.625,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Chari-Baguirmi,23847190B26801534542350,WP,All_2020_Fixed,2020,0,1,0,994973,0,0,54992.0234375,88109.1484375,0,0,0,0,1284.9229736328125,1546.078857421875,0,0
TCD,1,Lac,23847190B4179112565003,WP,All_2020_Fixed,2020,0,0,0,605898.5625,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Logone Occidental,23847190B3193897628622,WP,All_2020_Fixed,2020,0,0,0,899083.125,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Logone Oriental,23847190B88704211588167,WP,All_2020_Fixed,2020,0,0,0,1195860.875,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Mandoul,23847190B9655016434554,WP,All_2020_Fixed,2020,1,0,0,876828.1875,0,4327.1962890625,0,0,0,0,0,61.5456657409668,0,0,0,0
TCD,1,Mayo-Kebbi Est,23847190B50411308984007,WP,All_2020_Fixed,2020,0,2,1,1063095.25,0,0,0,1534.9136962890625,0,0,0,0,0,61.159873962402344,0,0
TCD,1,Mayo-Kebbi Ouest,23847190B16040038484355,WP,All_2020_Fixed,2020,1,1,1,759128.625,17509.54296875,47098.59765625,98290.1953125,121507.234375,0,0,710.128173828125,920.68231201171875,1128.897216796875,1793.453369140625,0,0
TCD,1,Moyen-Chari,23847190B97640124965572,WP,All_2020_Fixed,2020,2,2,1,824372.3125,17810.900390625,59167.45703125,93704.609375,48857.83203125,179642.9375,99035.4375,952.4705810546875,1763.0411376953125,6975.84033203125,3084.750732421875,9763.98828125,1999.992919921875
TCD,1,Tandjilé,23847190B20750693231580,WP,All_2020_Fixed,2020,0,0,0,838573,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,N'Djamena Region,23847190B51844892814608,WP,All_2020_Fixed,2020,0,0,0,1133167.875,0,0,0,0,0,0,0,0,0,0,0,0
TCD,1,Ennedi-Est,23847190B43219597202588,WP,All_2020_Fixed,2020,0,0,1,287078.90625,0,0,0,0,99426.4140625,21137.853515625,0,0,0,0,13260.998046875,4362.13134765625
