system:index,adm_id,adm_level,adm_name,area_nonstrict,area_nonstrict10,area_strict,area_strict10,area_unknowncat,area_unknowncat10,count_nonstrict,count_strict,count_unknowncat,iso3,pop_nonstrict,pop_nonstrict10,pop_strict,pop_strict10,pop_total,pop_unknowncat,pop_unknowncat10,pop_year,scenario,source,.geo
27767025B11866847137657_0,27767025B11866847137657,1,Centre,0,0,2448.99609375,1411.2198486328125,0,0,0,1,0,CMR,0,0,3015.33251953125,2835.129638671875,2564131,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_1,27767025B11866847137657,1,Centre,0,0,3423.0634765625,3054.0107421875,140.26553344726562,1161.7584228515625,0,2,2,CMR,0,0,7718.07666015625,9942.2275390625,5811607,2754.044921875,34643.01171875,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_2,27767025B11866847137657,1,Centre,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,5811607,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B11866847137657_3,27767025B11866847137657,1,Centre,0,0,3423.0634765625,3054.0107421875,140.26553344726562,1161.7584228515625,0,2,2,CMR,0,0,7718.07666015625,9942.2275390625,5811607,2754.044921875,34643.01171875,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_0,27767025B65184844379073,1,Far North,0,0,1489.5526123046875,2868.349853515625,0,0,0,3,0,CMR,0,0,29267.6484375,136852.734375,2658684.25,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_1,27767025B65184844379073,1,Far North,1682.8599853515625,827.1279296875,1489.5526123046875,2868.349853515625,5598.5537109375,1009.1929321289062,1,3,1,CMR,60563.921875,86209.2734375,51871.25390625,246818.3125,4719511.5,449087.78125,138201.828125,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_2,27767025B65184844379073,1,Far North,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,4719511.5,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B65184844379073_3,27767025B65184844379073,1,Far North,1682.8599853515625,827.1279296875,1489.5526123046875,2868.349853515625,5598.5537109375,1009.1929321289062,1,3,1,CMR,60563.921875,86209.2734375,51871.25390625,246818.3125,4719511.5,449087.78125,138201.828125,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_0,27767025B7666404469333,1,North,0,0,7393.15869140625,6878.98974609375,0,0,0,3,0,CMR,0,0,33901.11328125,57207.3046875,1377353.625,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_1,27767025B7666404469333,1,North,0,0,7452.5830078125,7668.703125,0,0,0,4,0,CMR,0,0,62068.5390625,145135.34375,3088843.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_2,27767025B7666404469333,1,North,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,3088843.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B7666404469333_3,27767025B7666404469333,1,North,0,0,7452.5830078125,7668.703125,0,0,0,4,0,CMR,0,0,62068.5390625,145135.34375,3088843.25,0,0,2020,All_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B74489197250691_0,27767025B74489197250691,1,North-West,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,1557860,0,0,2000,Confirmed_2000,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B74489197250691_1,27767025B74489197250691,1,North-West,26.895370483398438,850.33392333984375,981.4461669921875,2102.537353515625,0,0,3,1,0,CMR,1837.384033203125,119846.4296875,20275.009765625,73321.953125,2327984.25,0,0,2020,Confirmed_2020,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
27767025B74489197250691_2,27767025B74489197250691,1,North-West,0,0,0,0,0,0,0,0,0,CMR,0,0,0,0,2327984.25,0,0,2020,Unknown_Year,WP,"{""type"":""MultiPoint"",""coordinates"":[]}"
